,DATE_TIME,REPLY_SIZE
10137,2015-12-21 23:25:11,1457
10138,2015-12-21 23:25:11,3465
10139,2015-12-21 23:25:12,4890
10140,2015-12-21 23:25:12,33472
10141,2015-12-21 23:25:14,64080
10142,2015-12-21 23:51:57,4263
10143,2015-12-21 23:51:58,4494
10144,2015-12-22 00:21:22,10439
10145,2015-12-22 00:25:35,4263
10146,2015-12-22 00:25:37,4494
10147,2015-12-22 00:27:26,8938
10148,2015-12-22 00:54:22,4263
10149,2015-12-22 00:54:22,4494
10150,2015-12-22 00:54:22,4263
10151,2015-12-22 01:01:09,4263
10152,2015-12-22 01:01:10,4494
10153,2015-12-22 01:34:15,10439
10154,2015-12-22 01:34:51,4263
10155,2015-12-22 01:34:52,4494
10156,2015-12-22 02:46:51,4263
10157,2015-12-22 02:47:13,4494
10158,2015-12-22 03:24:37,4263
10159,2015-12-22 03:24:41,4494
10160,2015-12-22 04:03:01,4263
10161,2015-12-22 04:03:05,4494
10162,2015-12-22 04:43:17,4263
10163,2015-12-22 04:43:27,4494
10164,2015-12-22 05:17:46,304
10165,2015-12-22 05:17:47,3730
10166,2015-12-22 05:19:08,4263
10167,2015-12-22 05:19:09,4494
10168,2015-12-22 05:56:56,4263
10169,2015-12-22 05:56:56,4494
10170,2015-12-22 06:32:19,4263
10171,2015-12-22 06:32:21,4494
10172,2015-12-22 07:08:59,4263
10173,2015-12-22 07:09:00,4494
10174,2015-12-22 07:14:35,10439
10175,2015-12-22 07:14:36,1725
10176,2015-12-22 07:14:36,1963
10177,2015-12-22 07:14:36,239
10178,2015-12-22 07:14:36,10004
10179,2015-12-22 07:14:36,1801
10180,2015-12-22 07:14:36,1457
10181,2015-12-22 07:14:36,3465
10182,2015-12-22 07:14:36,4890
10183,2015-12-22 07:14:36,74434
10184,2015-12-22 07:14:36,33472
10185,2015-12-22 07:14:37,62918
10186,2015-12-22 07:14:37,87782
10187,2015-12-22 07:14:38,88161
10188,2015-12-22 07:14:38,68977
10189,2015-12-22 07:14:38,369
10190,2015-12-22 07:14:38,94861
10191,2015-12-22 07:14:39,43300
10192,2015-12-22 07:14:39,43586
10193,2015-12-22 07:14:40,329961
10194,2015-12-22 07:14:40,77796
10195,2015-12-22 07:14:41,55303
10196,2015-12-22 07:14:42,21490
10197,2015-12-22 07:14:42,57339
10198,2015-12-22 07:14:42,5017
10199,2015-12-22 07:14:42,69
10200,2015-12-22 07:14:42,39683
10201,2015-12-22 07:14:42,83
10202,2015-12-22 07:14:42,65225
10203,2015-12-22 07:14:49,80637
10204,2015-12-22 07:14:52,87782
10205,2015-12-22 07:14:52,62918
10206,2015-12-22 07:14:52,88161
10207,2015-12-22 07:14:53,77796
10208,2015-12-22 07:14:53,68977
10209,2015-12-22 07:14:53,80637
10210,2015-12-22 07:14:53,94861
10211,2015-12-22 07:29:41,10439
10212,2015-12-22 07:32:44,10479
10213,2015-12-22 07:33:22,10479
10214,2015-12-22 07:52:11,4267
10215,2015-12-22 07:52:11,4498
10216,2015-12-22 07:55:32,4263
10217,2015-12-22 07:55:33,4494
10218,2015-12-22 08:38:23,4263
10219,2015-12-22 08:38:24,4494
10220,2015-12-22 08:44:01,239
10221,2015-12-22 08:51:11,304
10222,2015-12-22 09:06:37,304
10223,2015-12-22 09:07:00,10479
10224,2015-12-22 09:17:14,4263
10225,2015-12-22 09:17:15,4494
10226,2015-12-22 10:00:45,4263
10227,2015-12-22 10:00:48,4494
10228,2015-12-22 10:33:14,8938
10229,2015-12-22 10:38:43,4263
10230,2015-12-22 10:38:44,4494
10231,2015-12-22 11:17:17,10439
10232,2015-12-22 11:18:52,4263
10233,2015-12-22 11:18:53,4494
10234,2015-12-22 11:39:06,6864
10235,2015-12-22 11:49:26,10439
10236,2015-12-22 11:52:55,4263
10237,2015-12-22 11:52:55,4494
10238,2015-12-22 12:28:05,4263
10239,2015-12-22 12:28:09,4494
10240,2015-12-22 12:51:22,304
10241,2015-12-22 12:51:53,10479
10242,2015-12-22 13:07:58,10479
10243,2015-12-22 13:07:59,1725
10244,2015-12-22 13:07:59,10004
10245,2015-12-22 13:07:59,239
10246,2015-12-22 13:07:59,3465
10247,2015-12-22 13:07:59,1801
10248,2015-12-22 13:07:59,1457
10249,2015-12-22 13:07:59,4890
10250,2015-12-22 13:07:59,1963
10251,2015-12-22 13:07:59,74434
10252,2015-12-22 13:07:59,33472
10253,2015-12-22 13:07:59,77796
10254,2015-12-22 13:07:59,88161
10255,2015-12-22 13:07:59,62918
10256,2015-12-22 13:07:59,87782
10257,2015-12-22 13:07:59,80637
10258,2015-12-22 13:07:59,68977
10259,2015-12-22 13:07:59,57339
10260,2015-12-22 13:07:59,94861
10261,2015-12-22 13:08:20,4263
10262,2015-12-22 13:08:21,4494
10263,2015-12-22 13:12:35,7936
10264,2015-12-22 13:12:35,239
10265,2015-12-22 13:12:35,80510
10266,2015-12-22 13:12:42,7991
10267,2015-12-22 13:12:42,239
10268,2015-12-22 13:12:42,87352
10269,2015-12-22 13:21:35,239
10270,2015-12-22 13:50:36,4263
10271,2015-12-22 13:50:40,4494
10272,2015-12-22 14:22:32,8938
10273,2015-12-22 14:29:00,4263
10274,2015-12-22 14:29:01,4494
10275,2015-12-22 15:05:47,4263
10276,2015-12-22 15:05:48,4494
10277,2015-12-22 15:47:56,4263
10278,2015-12-22 15:47:59,4494
10279,2015-12-22 16:24:41,434751
10280,2015-12-22 16:32:06,4263
10281,2015-12-22 16:32:07,4494
10282,2015-12-22 16:34:09,10479
10283,2015-12-22 16:35:00,10479
10284,2015-12-22 16:54:05,304
10285,2015-12-22 16:54:06,10439
10286,2015-12-22 17:12:03,4263
10287,2015-12-22 17:12:04,4494
10288,2015-12-22 17:46:31,4263
10289,2015-12-22 17:46:34,4494
10290,2015-12-22 18:31:03,4263
10291,2015-12-22 18:31:04,4494
10292,2015-12-22 18:33:40,10479
10293,2015-12-22 18:33:40,1725
10294,2015-12-22 18:33:40,239
10295,2015-12-22 18:33:40,10004
10296,2015-12-22 18:33:40,1963
10297,2015-12-22 18:33:40,1801
10298,2015-12-22 18:33:40,1457
10299,2015-12-22 18:33:40,3465
10300,2015-12-22 18:33:40,4890
10301,2015-12-22 18:33:41,74434
10302,2015-12-22 18:33:41,33472
10303,2015-12-22 18:33:42,88161
10304,2015-12-22 18:33:42,87782
10305,2015-12-22 18:33:42,43300
10306,2015-12-22 18:33:43,217
10307,2015-12-22 18:33:43,68977
10308,2015-12-22 18:33:43,77796
10309,2015-12-22 18:33:43,83
10310,2015-12-22 18:33:43,80637
10311,2015-12-22 18:33:43,69
10312,2015-12-22 18:33:43,5017
10313,2015-12-22 18:33:43,43586
10314,2015-12-22 18:33:43,369
10315,2015-12-22 18:33:44,57339
10316,2015-12-22 18:33:44,21490
10317,2015-12-22 18:33:44,62918
10318,2015-12-22 18:33:45,65225
10319,2015-12-22 18:33:45,39683
10320,2015-12-22 18:33:46,94861
10321,2015-12-22 18:33:46,55303
10322,2015-12-22 18:33:48,329961
10323,2015-12-22 19:00:55,4263
10324,2015-12-22 19:00:59,4494
10325,2015-12-22 19:26:18,10479
10326,2015-12-22 19:26:18,1725
10327,2015-12-22 19:26:18,10004
10328,2015-12-22 19:26:18,1801
10329,2015-12-22 19:26:18,239
10330,2015-12-22 19:26:18,74434
10331,2015-12-22 19:26:18,1457
10332,2015-12-22 19:26:18,1963
10333,2015-12-22 19:26:18,3465
10334,2015-12-22 19:26:18,4890
10335,2015-12-22 19:26:18,33472
10336,2015-12-22 19:26:18,88161
10337,2015-12-22 19:26:18,62918
10338,2015-12-22 19:26:19,87782
10339,2015-12-22 19:26:19,80637
10340,2015-12-22 19:26:19,77796
10341,2015-12-22 19:26:19,239
10342,2015-12-22 19:26:19,68977
10343,2015-12-22 19:26:19,94861
10344,2015-12-22 19:26:19,43300
10345,2015-12-22 19:26:19,43586
10346,2015-12-22 19:26:19,55303
10347,2015-12-22 19:26:19,57339
10348,2015-12-22 19:26:19,21490
10349,2015-12-22 19:26:19,65225
10350,2015-12-22 19:26:19,39683
10351,2015-12-22 19:26:19,69
10352,2015-12-22 19:26:19,5017
10353,2015-12-22 19:26:19,369
10354,2015-12-22 19:26:19,83
10355,2015-12-22 19:26:19,329961
10356,2015-12-22 19:26:20,217
10357,2015-12-22 19:26:20,217
10358,2015-12-22 19:26:39,7936
10359,2015-12-22 19:26:39,239
10360,2015-12-22 19:26:39,80510
10361,2015-12-22 19:26:47,32583
10362,2015-12-22 19:26:47,15063
10363,2015-12-22 19:26:47,239
10364,2015-12-22 19:26:47,1159
10365,2015-12-22 19:26:47,10588
10366,2015-12-22 19:26:47,27272
10367,2015-12-22 19:26:47,4431
10368,2015-12-22 19:26:47,2901
10369,2015-12-22 19:26:47,3555
10370,2015-12-22 19:26:47,1552
10371,2015-12-22 19:26:47,605
10372,2015-12-22 19:26:47,5401
10373,2015-12-22 19:26:47,5236
10374,2015-12-22 19:26:47,3495
10375,2015-12-22 19:26:47,2337
10376,2015-12-22 19:26:47,8324
10377,2015-12-22 19:26:47,5537
10378,2015-12-22 19:26:47,5649
